id,source,name,address,place_type,price_level,user_rating_google,user_rating_yelp,avg_user_rating,latitude,longitude,nearest_metro_station_name,nearest_metro_distance_meters,nearest_metro_route_codes,detail_url
eOz1wCcrpQ1KhcFDnLWNUA,yelp,Molly Tea,"425 W Valley Blvd, San Gabriel, CA",cafe,2,,4.4,4.4,34.0796605,-118.106305,Valley / New,157.8,76,https://www.yelp.com/biz/molly-tea-san-gabriel-3?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
B8fT1wuBFpPdsAngplzREQ,yelp,Yihui Coffee,"550 W Garvey Ave, Monterey Park, CA",cafe,2,,4.4,4.4,34.06214,-118.13011,Garvey / Ynez,84.2,70,https://www.yelp.com/biz/yihui-coffee-monterey-park?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
vDuBt7C16Opxxj97zHERSg,yelp,Creature's Plants and Coffee,"4958 Eagle Rock Blvd, Los Angeles, CA",cafe,,,4.4,4.4,34.13636,-118.21453,Huntington / Monterey,6128.1,78,https://www.yelp.com/biz/creatures-plants-and-coffee-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
xlyvoK-czYBe7N3nK9z6IQ,yelp,Reborn Coffee,"3747 Foothill Blvd, Glendale, CA",cafe,2,,4.4,4.4,34.23761684010351,-118.26110249540407,Lankershim / Neenach,11653.8,224,https://www.yelp.com/biz/reborn-coffee-glendale?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
pVUPowQ4MX6AIpo79hH3iA,yelp,Lotus & Bean,"264 S Mission Dr, San Gabriel, CA",cafe,2,,4.4,4.4,34.099,-118.10905,Main / Chapel,1397.8,78,https://www.yelp.com/biz/lotus-and-bean-san-gabriel-3?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
tR_eyVNRygUtkAESN-6F9w,yelp,Fika Fika Coffee,"9661 Las Tunas Dr, Temple City, CA",cafe,1,,4.4,4.4,34.107268,-118.058833,Valley / Temple City,2879.7,76,https://www.yelp.com/biz/fika-fika-coffee-temple-city?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
QzJvGFEqHVh6v7qE-1EAhA,yelp,Uptown Coffee,"1831 W Glenoaks Blvd, Glendale, CA",cafe,2,,4.4,4.4,34.1734769,-118.2924876,Lankershim / Aqua Vista,7169.7,224,https://www.yelp.com/biz/uptown-coffee-glendale?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
lPRsrCyZJrVPJEsFCvjj5g,yelp,Constellation Coffee,"468 Foothill Blvd, La Cañada Flintridge, CA",cafe,2,,4.4,4.4,34.1989639703646,-118.188988119364,Huntington / Alpha,11910.5,78,https://www.yelp.com/biz/constellation-coffee-la-ca%C3%B1ada-flintridge-5?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
fM6wBdcIZfKd5AtZ2W5bNA,yelp,Favorite Coffee Museum,"5403 Norwalk Blvd, Whittier, CA",cafe,2,,4.4,4.4,33.9986238,-118.0558177,Montebello Metrolink Station,6431.8,66,https://www.yelp.com/biz/favorite-coffee-museum-whittier?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
GY0oLZZcdxvdjpgW5PENgQ,yelp,Pure Bean,"1133 Artesia Blvd, Manhattan Beach, CA",cafe,2,,4.4,4.4,33.87350544031449,-118.39472164176844,Sepulveda / Artesia,84.6,232,https://www.yelp.com/biz/pure-bean-manhattan-beach?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
mhTO26c2ISPfv8_ysBSJiw,yelp,Smoky Hollow Roasters,"118 Sierra St, El Segundo, CA",cafe,2,,4.4,4.4,33.91704,-118.40858,Pacific Coast Highway / El Segundo,1155.3,232,https://www.yelp.com/biz/smoky-hollow-roasters-el-segundo-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
sA3RPuwrjXU9nYYh_bp9Ww,yelp,Otto Tea Shoppe,"403 North Pacific Coast Hwy, Redondo Beach, CA",cafe,2,,4.4,4.4,33.847066094425,-118.38887497567588,Pacific Coast Highway / Beryl,186.2,232,https://www.yelp.com/biz/otto-tea-shoppe-redondo-beach-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
